Date,nikkei
2014-09-01,15476.6
2014-09-02,15668.6
2014-09-03,15728.35
2014-09-04,15676.18
2014-09-05,15668.68
2014-09-08,15705.11
2014-09-09,15749.15
2014-09-10,15788.78
2014-09-11,15909.2
2014-09-12,15948.29
2014-09-15,
2014-09-16,15911.53
2014-09-17,15888.67
2014-09-18,16067.57
2014-09-19,16321.17
2014-09-22,16205.9
2014-09-23,
2014-09-24,16167.45
2014-09-25,16374.14
2014-09-26,16229.86
2014-09-29,16310.64
2014-09-30,16173.52
2014-10-01,16082.25
2014-10-02,15661.99
2014-10-03,15708.65
2014-10-06,15890.95
2014-10-07,15783.83
2014-10-08,15595.98
2014-10-09,15478.93
2014-10-10,15300.55
2014-10-13,
2014-10-14,14936.51
2014-10-15,15073.52
2014-10-16,14738.38
2014-10-17,14532.51
2014-10-20,15111.23
2014-10-21,14804.28
2014-10-22,15195.77
2014-10-23,15138.96
2014-10-24,15291.64
2014-10-27,15388.72
2014-10-28,15329.91
2014-10-29,15553.91
2014-10-30,15658.2
2014-10-31,16413.76
2014-11-03,
2014-11-04,16862.47
2014-11-05,16937.32
2014-11-06,16792.48
2014-11-07,16880.38
2014-11-10,16780.53
2014-11-11,17124.11
2014-11-12,17197.05
2014-11-13,17392.79
2014-11-14,17490.83
2014-11-17,16973.8
2014-11-18,17344.06
2014-11-19,17288.75
2014-11-20,17300.86
2014-11-21,17357.51
2014-11-24,
2014-11-25,17407.62
2014-11-26,17383.58
2014-11-27,17248.5
2014-11-28,17459.85
2014-12-01,17590.1
2014-12-02,17663.22
2014-12-03,17720.43
2014-12-04,17887.21
2014-12-05,17920.45
2014-12-08,17935.64
2014-12-09,17813.38
2014-12-10,17412.58
2014-12-11,17257.4
2014-12-12,17371.58
2014-12-15,17099.4
2014-12-16,16755.32
2014-12-17,16819.73
2014-12-18,17210.05
2014-12-19,17621.4
2014-12-22,17635.14
2014-12-23,
2014-12-24,17854.23
2014-12-25,17808.75
2014-12-26,17818.96
2014-12-29,17729.84
2014-12-30,17450.77
2014-12-31,
2015-01-01,
2015-01-02,
2015-01-05,17408.71
2015-01-06,16883.19
2015-01-07,16885.33
2015-01-08,17167.1
2015-01-09,17197.73
2015-01-12,
2015-01-13,17087.71
2015-01-14,16795.96
2015-01-15,17108.7
2015-01-16,16864.16
2015-01-19,17014.29
2015-01-20,17366.3
2015-01-21,17280.48
2015-01-22,17329.02
2015-01-23,17511.75
2015-01-26,17468.52
2015-01-27,17768.3
2015-01-28,17795.73
2015-01-29,17606.22
2015-01-30,17674.39
2015-02-02,17558.04
2015-02-03,17335.85
2015-02-04,17678.74
2015-02-05,17504.62
2015-02-06,17648.5
2015-02-09,17711.93
2015-02-10,17652.68
2015-02-11,
2015-02-12,17979.72
2015-02-13,17913.36
2015-02-16,18004.77
2015-02-17,17987.09
2015-02-18,18199.17
2015-02-19,18264.79
2015-02-20,18332.3
2015-02-23,18466.92
2015-02-24,18603.48
2015-02-25,18585.2
2015-02-26,18785.79
2015-02-27,18797.94
2015-03-02,18826.88
2015-03-03,18815.16
2015-03-04,18703.6
2015-03-05,18751.84
2015-03-06,18971.0
2015-03-09,18790.55
2015-03-10,18665.11
2015-03-11,18723.52
2015-03-12,18991.11
2015-03-13,19254.25
2015-03-16,19246.06
2015-03-17,19437.0
2015-03-18,19544.48
2015-03-19,19476.56
2015-03-20,19560.22
2015-03-23,19754.36
2015-03-24,19713.45
2015-03-25,19746.2
2015-03-26,19471.12
2015-03-27,19285.63
2015-03-30,19411.4
2015-03-31,19206.99
2015-04-01,19034.84
2015-04-02,19312.79
2015-04-03,19435.08
2015-04-06,19397.98
2015-04-07,19640.54
2015-04-08,19789.81
2015-04-09,19937.72
2015-04-10,19907.63
2015-04-13,19905.46
2015-04-14,19908.68
2015-04-15,19869.76
2015-04-16,19885.77
2015-04-17,19652.88
2015-04-20,19634.49
2015-04-21,19909.09
2015-04-22,20133.9
2015-04-23,20187.65
2015-04-24,20020.04
2015-04-27,19983.32
2015-04-28,20058.95
2015-04-29,
2015-04-30,19520.01
2015-05-01,19531.63
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,19291.99
2015-05-08,19379.19
2015-05-11,19620.91
2015-05-12,19624.84
2015-05-13,19764.72
2015-05-14,19570.24
2015-05-15,19732.92
2015-05-18,19890.27
2015-05-19,20026.38
2015-05-20,20196.56
2015-05-21,20202.87
2015-05-22,20264.41
2015-05-25,20413.77
2015-05-26,20437.48
2015-05-27,20472.58
2015-05-28,20551.46
2015-05-29,20563.15
2015-06-01,20569.87
2015-06-02,20543.19
2015-06-03,20473.51
2015-06-04,20488.19
2015-06-05,20460.9
2015-06-08,20457.19
2015-06-09,20096.3
2015-06-10,20046.36
2015-06-11,20382.97
2015-06-12,20407.08
2015-06-15,20387.79
2015-06-16,20257.94
2015-06-17,20219.27
2015-06-18,19990.82
2015-06-19,20174.24
2015-06-22,20428.19
2015-06-23,20809.42
2015-06-24,20868.03
2015-06-25,20771.4
2015-06-26,20706.15
2015-06-29,20109.95
2015-06-30,20235.73
2015-07-01,20329.32
2015-07-02,20522.5
2015-07-03,20539.79
2015-07-06,20112.12
2015-07-07,20376.59
2015-07-08,19737.64
2015-07-09,19855.5
2015-07-10,19779.83
2015-07-13,20089.77
2015-07-14,20385.33
2015-07-15,20463.33
2015-07-16,20600.12
2015-07-17,20650.92
2015-07-20,
2015-07-21,20841.97
2015-07-22,20593.67
2015-07-23,20683.95
2015-07-24,20544.53
2015-07-27,20350.1
2015-07-28,20328.89
2015-07-29,20302.91
2015-07-30,20522.83
2015-07-31,20585.24
2015-08-03,20548.11
2015-08-04,20520.36
2015-08-05,20614.06
2015-08-06,20664.44
2015-08-07,20724.56
2015-08-10,20808.69
2015-08-11,20720.75
2015-08-12,20392.77
2015-08-13,20595.55
2015-08-14,20519.45
2015-08-17,20620.26
2015-08-18,20554.47
2015-08-19,20222.63
2015-08-20,20033.52
2015-08-21,19435.83
2015-08-24,18540.68
2015-08-25,17806.7
2015-08-26,18376.83
2015-08-27,18574.44
2015-08-28,19136.32
2015-08-31,18890.48
2015-09-01,18165.69
2015-09-02,18095.4
2015-09-03,18182.39
2015-09-04,17792.16
2015-09-07,17860.47
2015-09-08,17427.08
2015-09-09,18770.51
2015-09-10,18299.62
2015-09-11,18264.22
2015-09-14,17965.7
2015-09-15,18026.48
2015-09-16,18171.6
2015-09-17,18432.27
2015-09-18,18070.21
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24,17571.83
2015-09-25,17880.51
2015-09-28,17645.11
2015-09-29,16930.84
2015-09-30,17388.15
2015-10-01,17722.42
2015-10-02,17725.13
2015-10-05,18005.49
2015-10-06,18186.1
2015-10-07,18322.98
2015-10-08,18141.17
2015-10-09,18438.67
2015-10-12,
2015-10-13,18234.74
2015-10-14,17891.0
2015-10-15,18096.9
2015-10-16,18291.8
2015-10-19,18131.23
2015-10-20,18207.15
2015-10-21,18554.28
2015-10-22,18435.87
2015-10-23,18825.3
2015-10-26,18947.12
2015-10-27,18777.04
2015-10-28,18903.02
2015-10-29,18935.71
2015-10-30,19083.1
2015-11-02,18683.24
2015-11-03,
2015-11-04,18926.91
2015-11-05,19116.41
2015-11-06,19265.6
2015-11-09,19642.74
2015-11-10,19671.26
2015-11-11,19691.39
2015-11-12,19697.77
2015-11-13,19596.91
2015-11-16,19393.69
2015-11-17,19630.63
2015-11-18,19649.18
2015-11-19,19859.81
2015-11-20,19879.81
2015-11-23,
2015-11-24,19924.89
2015-11-25,19847.58
2015-11-26,19944.41
2015-11-27,19883.94
2015-11-30,19747.47
2015-12-01,20012.4
2015-12-02,19938.13
2015-12-03,19939.9
2015-12-04,19504.48
2015-12-07,19698.15
2015-12-08,19492.6
2015-12-09,19301.07
2015-12-10,19046.55
2015-12-11,19230.48
2015-12-14,18883.42
2015-12-15,18565.9
2015-12-16,19049.91
2015-12-17,19353.56
